,title,year,certification,runtime,genre,imdb_rating,metascore,plot,number_of_votes
392,22. The Prestige,2006,PG-13,2h 10m,Sci-Fi,8.5 (1.5M),66,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",(1.5M)
393,23. Guardians of the Galaxy Vol. 3,2023,PG-13,2h 30m,Sci-Fi,7.9 (388K),64,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.",(388K)
394,24. About Time,2013,R,2h 3m,Sci-Fi,7.8 (391K),55,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",(391K)
395,25. Star Wars: Episode IV - A New Hope,1977,PG,2h 1m,Sci-Fi,8.6 (1.5M),90,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",(1.5M)
396,1. The Sandlot,1993,PG,1h 41m,Sport,7.8 (104K),55,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.",(104K)
397,2. Ford v Ferrari,2019,PG-13,2h 32m,Sport,8.1 (484K),81,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,(484K)
398,3. Moneyball,2011,PG-13,2h 13m,Sport,7.6 (468K),87,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,(468K)
399,4. Remember the Titans,2000,PG,1h 53m,Sport,7.8 (233K),48,"In 1971 Virginia high school football was everything to the people of Alexandria. But when the school board was forced to integrate an all-black school with an all-white one, the very foundation of football's tradition was put to the test.",(233K)
400,5. Warrior,2011,PG-13,2h 20m,Sport,8.1 (500K),71,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",(500K)
401,6. Rocky,1976,PG,2h,Sport,8.1 (633K),70,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,(633K)
402,7. Rush,2013,R,2h 3m,Sport,8.1 (517K),74,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,(517K)
403,8. Wreck-It Ralph,2012,PG,1h 41m,Sport,7.7 (462K),72,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",(462K)
404,9. The World's Fastest Indian,2005,PG-13,2h 7m,Sport,7.8 (59K),68,"The story of New Zealander Burt Munro, who spent years rebuilding a 1920 Indian motorcycle, which helped him set the land speed world record at Utah's Bonneville Salt Flats in 1967.",(59K)
405,10. Million Dollar Baby,2004,PG-13,2h 12m,Sport,8.1 (725K),86,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.",(725K)
406,11. The Blind Side,2009,PG-13,2h 9m,Sport,7.6 (363K),53,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",(363K)
407,12. Raging Bull,1980,R,2h 9m,Sport,8.1 (382K),90,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",(382K)
408,13. The Wrestler,2008,R,1h 49m,Sport,7.9 (321K),80,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",(321K)
409,14. The Fighter,2010,R,1h 56m,Sport,7.8 (391K),79,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",(391K)
410,15. Cinderella Man,2005,PG-13,2h 24m,Sport,8.0 (199K),69,"The true story of James J. Braddock, a supposedly washed-up boxer, who returned to the spotlight to win the heavyweight championship of the world.",(199K)
411,16. Children of Heaven,1997,PG,1h 29m,Sport,8.2 (81K),77,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",(81K)
412,17. Dangal,2016,Not Rated,2h 41m,Sport,8.3 (213K),0,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,(213K)
413,18. The Hustler,1961,Approved,2h 14m,Sport,8.0 (87K),90,An up-and-coming pool player plays a long-time champion in a single high-stakes match.,(87K)
414,19. Lagaan: Once Upon a Time in India,2001,PG,3h 44m,Sport,8.1 (121K),84,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,(121K)
415,20. Bhaag Milkha Bhaag,2013,Not Rated,3h 6m,Sport,8.2 (73K),0,"The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition.",(73K)
416,21. The Triplets of Belleville,2003,PG-13,1h 20m,Sport,7.7 (57K),91,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.",(57K)
417,22. Chak De! India,2007,Not Rated,2h 33m,Sport,8.1 (85K),68,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",(85K)
418,23. M.S. Dhoni: The Untold Story,2016,Not Rated,3h 4m,Sport,8.0 (69K),0,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,(69K)
419,24. Paan Singh Tomar,2012,Not Rated,2h 15m,Sport,8.2 (38K),0,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",(38K)
420,1. Furiosa: A Mad Max Saga,2024,R,2h 28m,Thriller,7.7 (116K),79,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.,(116K)
421,2. Mad Max: Fury Road,2015,R,2h,Thriller,8.1 (1.1M),90,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",(1.1M)
422,3. Get Out,2017,R,1h 44m,Thriller,7.8 (709K),85,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",(709K)
423,4. The Dark Knight,2008,PG-13,2h 32m,Thriller,9.0 (2.9M),84,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",(2.9M)
424,5. The Batman,2022,PG-13,2h 56m,Thriller,7.8 (798K),72,"When a sadistic serial killer begins murdering key political figures in Gotham, The Batman is forced to investigate the city's hidden corruption and question his family's involvement.",(798K)
425,6. Inception,2010,PG-13,2h 28m,Thriller,8.8 (2.6M),74,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",(2.6M)
426,7. Mission: Impossible - Dead Reckoning Part One,2023,PG-13,2h 43m,Thriller,7.7 (255K),81,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,(255K)
427,8. No Country for Old Men,2007,R,2h 2m,Thriller,8.2 (1.1M),92,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,(1.1M)
428,9. Anatomy of a Fall,2023,R,2h 31m,Thriller,7.7 (137K),86,A woman is suspected of murder after her husband's death; their half-blind son faces a moral dilemma as the main witness.,(137K)
429,10. Jaws,1975,PG,2h 4m,Thriller,8.1 (665K),87,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",(665K)
430,11. Parasite,2019,R,2h 12m,Thriller,8.5 (974K),97,Greed and class discrimination threaten the newly-formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,(974K)
431,12. The Silence of the Lambs,1991,R,1h 58m,Thriller,8.6 (1.6M),86,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",(1.6M)
432,13. Blade Runner 2049,2017,R,2h 44m,Thriller,8.0 (674K),81,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",(674K)
433,14. Shutter Island,2010,R,2h 18m,Thriller,8.2 (1.5M),63,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.",(1.5M)
434,15. Gone Girl,2014,R,2h 29m,Thriller,8.1 (1.1M),79,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",(1.1M)
435,16. Jurassic Park,1993,PG-13,2h 7m,Thriller,8.2 (1.1M),68,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,(1.1M)
436,17. Se7en,1995,R,2h 7m,Thriller,8.6 (1.8M),65,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",(1.8M)
437,18. John Wick: Chapter 4,2023,R,2h 49m,Thriller,7.7 (341K),78,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",(341K)
438,19. Mad Max 2: The Road Warrior,1981,R,1h 36m,Thriller,7.6 (200K),77,"In the post-apocalyptic Australian wasteland, a cynical drifter agrees to help a small, gasoline-rich community get rid of a horde of bandits.",(200K)
439,20. The Departed,2006,R,2h 31m,Thriller,8.5 (1.4M),85,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,(1.4M)
440,21. Léon: The Professional,1994,R,1h 50m,Thriller,8.5 (1.3M),64,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",(1.3M)
441,22. The Prestige,2006,PG-13,2h 10m,Thriller,8.5 (1.5M),66,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",(1.5M)
442,23. Joker,2019,R,2h 2m,Thriller,8.4 (1.5M),59,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of crime and chaos in Gotham City.",(1.5M)
443,24. Prisoners,2013,R,2h 33m,Thriller,8.2 (818K),70,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",(818K)
444,25. Aliens,1986,R,2h 17m,Thriller,8.4 (768K),84,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",(768K)
445,1. Inglourious Basterds,2009,R,2h 33m,War,8.4 (1.6M),69,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",(1.6M)
446,2. Apocalypse Now,1979,R,2h 27m,War,8.4 (715K),94,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,(715K)
447,3. 1917,2019,R,1h 59m,War,8.2 (685K),78,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",(685K)
448,4. Braveheart,1995,R,2h 58m,War,8.3 (1.1M),68,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,(1.1M)
449,5. Saving Private Ryan,1998,R,2h 49m,War,8.6 (1.5M),91,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",(1.5M)
450,6. Incendies,2010,R,2h 11m,War,8.3 (205K),80,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,(205K)
451,7. Platoon,1986,R,2h,War,8.1 (442K),92,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",(442K)
452,8. Casablanca,1942,PG,1h 42m,War,8.5 (609K),100,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,(609K)
453,9. Hacksaw Ridge,2016,R,2h 19m,War,8.1 (601K),71,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",(601K)
454,10. Come and See,1985,Not Rated,2h 22m,War,8.4 (99K),0,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",(99K)
455,11. Dunkirk,2017,PG-13,1h 46m,War,7.8 (746K),94,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",(746K)
456,12. Full Metal Jacket,1987,R,1h 56m,War,8.3 (795K),78,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,(795K)
457,13. The Dirty Dozen,1967,Approved,2h 30m,War,7.7 (80K),73,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.",(80K)
458,14. Pan's Labyrinth,2006,R,1h 58m,War,8.2 (706K),98,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",(706K)
459,15. The Imitation Game,2014,PG-13,1h 54m,War,8.0 (830K),71,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.",(830K)
460,16. The Pianist,2002,R,2h 30m,War,8.5 (921K),85,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",(921K)
461,17. Atonement,2007,R,2h 3m,War,7.8 (302K),85,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.,(302K)
462,18. Black Hawk Down,2001,R,2h 24m,War,7.7 (426K),74,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis.",(426K)
463,19. The Deer Hunter,1978,R,3h 3m,War,8.1 (365K),90,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,(365K)
464,20. Lawrence of Arabia,1962,PG,3h 38m,War,8.3 (316K),100,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",(316K)
465,21. Life Is Beautiful,1997,PG-13,1h 56m,War,8.6 (748K),58,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",(748K)
466,22. Jojo Rabbit,2019,PG-13,1h 48m,War,7.9 (445K),58,"A young German boy in the Hitler Youth, whose hero and imaginary friend is the country's dictator, is shocked to discover that his mother is hiding a Jewish girl in their home.",(445K)
467,23. Downfall,2004,R,2h 36m,War,8.2 (377K),82,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",(377K)
468,24. All Quiet on the Western Front,2022,R,2h 28m,War,7.8 (250K),76,A young German soldier's terrifying experiences and distress on the western front during World War I.,(250K)
469,25. Grave of the Fireflies,1988,Not Rated,1h 29m,War,8.5 (314K),94,A young boy and his little sister struggle to survive in Japan during World War II.,(314K)
470,1. Killers of the Flower Moon,2023,R,3h 26m,Western,7.6 (250K),89,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.",(250K)
471,2. Django Unchained,2012,R,2h 45m,Western,8.5 (1.7M),81,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",(1.7M)
472,3. Tombstone,1993,R,2h 10m,Western,7.8 (168K),50,"A successful lawman's plans to retire anonymously in Tombstone, Arizona, are disrupted by the kind of outlaws he was famous for eliminating.",(168K)
473,"4. The Good, the Bad and the Ugly",1966,R,2h 58m,Western,8.8 (817K),90,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,(817K)
474,5. The Revenant,2015,R,2h 36m,Western,8.0 (881K),76,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,(881K)
475,6. Dances with Wolves,1990,PG-13,3h 1m,Western,8.0 (293K),72,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose.",(293K)
476,7. Blazing Saddles,1974,R,1h 33m,Western,7.7 (154K),73,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary.",(154K)
477,8. The Hateful Eight,2015,R,2h 48m,Western,7.8 (665K),68,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",(665K)
478,9. Unforgiven,1992,R,2h 10m,Western,8.2 (439K),85,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",(439K)
479,10. Wind River,2017,R,1h 47m,Western,7.7 (283K),73,"A wildlife officer, who is haunted by a tragedy that happened because of him, teams up with an FBI agent in solving a murder of a young woman on a Wyoming Native American reservation and hopes to get redemption from his past regrets.",(283K)
480,11. Once Upon a Time in the West,1968,PG-13,2h 46m,Western,8.5 (351K),82,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,(351K)
481,12. Hell or High Water,2016,R,1h 42m,Western,7.6 (254K),88,"Toby is a divorced father who's trying to make a better life. His brother is an ex-con with a short temper and a loose trigger finger. Together, they plan a series of heists against the bank that's about to foreclose on their family ranch.",(254K)
482,13. The Last of the Mohicans,1992,R,1h 52m,Western,7.6 (189K),76,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,(189K)
483,14. True Grit,2010,PG-13,1h 50m,Western,7.6 (359K),80,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,(359K)
484,15. The Magnificent Seven,1960,Approved,2h 8m,Western,7.7 (103K),74,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.,(103K)
485,16. 3:10 to Yuma,2007,R,2h 2m,Western,7.6 (333K),76,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,(333K)
486,17. Butch Cassidy and the Sundance Kid,1969,PG,1h 50m,Western,8.0 (228K),66,"In 1890s Wyoming, Butch Cassidy and The Sundance Kid lead a band of outlaws. When a train robbery goes wrong, they find themselves on the run with a posse hard on their heels. After considering their options, they escape to South America.",(228K)
487,18. A Fistful of Dollars,1964,R,1h 39m,Western,7.9 (235K),65,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",(235K)
488,19. For a Few Dollars More,1965,R,2h 12m,Western,8.2 (277K),74,"Two bounty hunters with the same intentions team up to track down a gang of outlaws led by a psychotic Mexican bandit, who is plotting an audacious bank robbery.",(277K)
489,20. The Searchers,1956,Approved,1h 59m,Western,7.8 (97K),94,An American Civil War veteran embarks on a years-long journey to rescue his niece from the Comanches after the rest of his brother's family is massacred in a raid on their Texas farm.,(97K)
490,21. The Outlaw Josey Wales,1976,PG,2h 15m,Western,7.8 (80K),69,Missouri farmer Josey Wales joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family.,(80K)
491,22. The Wild Bunch,1969,R,2h 15m,Western,7.9 (91K),98,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",(91K)
492,23. The Man Who Shot Liberty Valance,1962,Approved,2h 3m,Western,8.1 (83K),94,A senator returns to a Western town for the funeral of an old friend and tells the story of his origins.,(83K)
493,24. High Noon,1952,PG,1h 25m,Western,7.9 (111K),89,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at ""high noon"" when the gang leader, an outlaw he ""sent up"" years ago, arrives on the noon train.",(111K)
494,25. Stagecoach,1939,Approved,1h 36m,Western,7.8 (54K),93,A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.,(54K)
