,title,year,certification,runtime,genre,imdb_rating,metascore,plot,number_of_votes
296,1. The Lion King,1994,G,1h 28m,Musical,8.5 (1.2M),88,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",(1.2M)
297,2. La La Land,2016,PG-13,2h 8m,Musical,8.0 (680K),94,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",(680K)
298,3. Coco,2017,PG,1h 45m,Musical,8.4 (599K),81,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",(599K)
299,4. Willy Wonka & the Chocolate Factory,1971,G,1h 40m,Musical,7.8 (229K),67,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.,(229K)
300,5. The Wizard of Oz,1939,G,1h 42m,Musical,8.1 (431K),92,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",(431K)
301,6. The Sound of Music,1965,G,2h 52m,Musical,8.1 (263K),63,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,(263K)
302,7. Tangled,2010,PG,1h 40m,Musical,7.7 (499K),71,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",(499K)
303,8. Cabaret,1972,PG,2h 4m,Musical,7.8 (60K),80,A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.,(60K)
304,9. Hamilton,2020,PG-13,2h 40m,Musical,8.3 (115K),88,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",(115K)
305,10. The Blues Brothers,1980,R,2h 13m,Musical,7.9 (216K),60,"Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago.",(216K)
306,11. Mulan,1998,G,1h 27m,Musical,7.7 (319K),72,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",(319K)
307,12. Mary Poppins,1964,G,2h 19m,Musical,7.8 (187K),88,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",(187K)
308,13. Aladdin,1992,G,1h 30m,Musical,8.0 (471K),86,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,(471K)
309,14. Beauty and the Beast,1991,G,1h 24m,Musical,8.0 (482K),95,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,(482K)
310,"15. South Park: Bigger, Longer & Uncut",1999,R,1h 21m,Musical,7.7 (216K),73,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame.",(216K)
311,16. The Nightmare Before Christmas,1993,PG,1h 16m,Musical,7.9 (377K),82,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",(377K)
312,17. The Umbrellas of Cherbourg,1964,Not Rated,1h 31m,Musical,7.8 (32K),86,A young woman separated from her lover by war faces a life-altering decision.,(32K)
313,18. Singin' in the Rain,1952,G,1h 43m,Musical,8.3 (262K),99,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,(262K)
314,19. All That Jazz,1979,R,2h 3m,Musical,7.8 (36K),72,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer.",(36K)
315,20. Fantasia,1940,G,2h 4m,Musical,7.7 (105K),96,"A series of eight famous pieces of classical music, conducted by Leopold Stokowski and interpreted in animation by Walt Disney's team of artists.",(105K)
316,21. Fiddler on the Roof,1971,G,3h 1m,Musical,8.0 (48K),67,"In pre-revolutionary Russia, a Jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-Semitic sentiment threatens his village.",(48K)
317,22. My Fair Lady,1964,G,2h 50m,Musical,7.7 (102K),95,"In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make a crude flower girl, Eliza Doolittle, presentable in high society.",(102K)
318,23. Dancer in the Dark,2000,R,2h 20m,Musical,7.9 (117K),63,An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision.,(117K)
319,24. Lagaan: Once Upon a Time in India,2001,PG,3h 44m,Musical,8.1 (121K),84,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,(121K)
320,25. Kal Ho Naa Ho,2003,Not Rated,3h 6m,Musical,7.9 (76K),54,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",(76K)
321,1. Get Out,2017,R,1h 44m,Mystery,7.8 (709K),85,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",(709K)
322,2. The Batman,2022,PG-13,2h 56m,Mystery,7.8 (798K),72,"When a sadistic serial killer begins murdering key political figures in Gotham, The Batman is forced to investigate the city's hidden corruption and question his family's involvement.",(798K)
323,3. Killers of the Flower Moon,2023,R,3h 26m,Mystery,7.6 (250K),89,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.",(250K)
